councillor,_airtable_row_index,_airtable_row_key,col_1,col_2,col_3,col_4,col_5,col_6,col_7
George-Darouze,1,recEftU2mMDyC1JHi,1/29/2025,No,Allow Committees to Hold Extra Meetings,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D03,Seconded%20byS.%20Menard",Failed,7 Yes / 18 No
George-Darouze,2,recZFT6d14OZlWSSd,1/29/2025,No,Include Planning/Housing Committee in Housing LRFP Discussion,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D04,Seconded%20byA.%20Troster",Failed,8 Yes / 17 No
George-Darouze,3,rec75B19n3BM0imOl,1/29/2025,No,Allow Committees to Continue Meeting without Quorum,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D05,Seconded%20byW.%20Lo",Failed,3 Yes / 22 No
George-Darouze,4,recWcwzGThI4U7XdE,1/29/2025,No,Clarify Requirement for Publicly-Available Meeting Minutes,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D06,Seconded%20byW.%20Lo",Failed,4 Yes / 21 No
George-Darouze,5,recnrbIbNZMAJNcj1,1/29/2025,Yes,Updates to Disciplinary Action Process for Council Staff,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D10,Seconded%20byS.%20Plante",Passed,17 Yes / 7 No
George-Darouze,6,rectgvDyZ3BtOnDvY,1/29/2025,Yes,Study Not Allowing Council to Ask for Staff Opinion on Decisions,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D13,Seconded%20byW.%20Lo",Failed,12 Yes / 13 No
George-Darouze,7,recmertADsqfWeaG6,1/29/2025,No,Study Establishing Fund for Member Legal Fees,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D15,Seconded%20byS.%20Plante",Passed,18 Yes / 6 No
George-Darouze,8,recLjeew2ElMCY95i,1/29/2025,Yes,Defer Ferry Road Acquisition,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=0c76fd6f-895a-4c7f-a57f-655ca4549526&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2025%20%2D%2050%2D20,Seconded%20byD.%20Brown",Passed,13 Yes / 12 No
George-Darouze,9,recHJQm3706lgbfpV,1/22/2025,No,Anti-Renoviction By-law Study,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=489ca5e2-aeaf-470a-93b6-bc06fc9e0f86&Agenda=PostMinutes&lang=English#:~:text=15.2,Relocation%20By%2Dlaw",Passed,19 Yes / 6 No
George-Darouze,10,recyl0xUiHbHTiRQP,12/11/2024,Yes,2025 Police Budget,Osgoode Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=5a93081f-f432-4b19-bf3d-6f1c33750c31&Agenda=PostMinutes&lang=English#:~:text=2.%C2%A0%20%C2%A0%20The%202025%20Ottawa%20Police%20Service%20Draft%20Operating%20and%20Capital%20Budgets%2C%20as%20recommended%20by%20the%20Ottawa%20Police%20Services%20Board%3B,Passed,18 Yes / 5 No
George-Darouze,11,recu7PpUFYPPnJ6Iz,12/11/2024,Yes,2025 Transit Budget,Osgoode Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=5a93081f-f432-4b19-bf3d-6f1c33750c31&Agenda=PostMinutes&lang=English#:~:text=The%20Transit%20budget%20was%20Carried%20as%20amended%20on%20a%20vote%20of%2018%20yeas%20to%207%20nays%2C%20with%20Councillor%20J.%20Leiper%20dissenting%20on%2010C.%C2%A0,Passed,17 Yes / 6 No
George-Darouze,12,recrWYuvefLobBXmQ,12/11/2024,Yes,2025 Budget,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=5a93081f-f432-4b19-bf3d-6f1c33750c31&Agenda=PostMinutes&lang=English#:~:text=26.1,Reports%20and%20Amendments",Passed,22 Yes / 3 No
George-Darouze,13,recOznW1wyrZ6EQiJ,12/3/2024,No,Acquiring Land for Conservation,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=6497d250-c798-46af-a95e-79704e754d14&Agenda=PostMinutes&lang=English#:~:text=8.3,5689%20Ferry%20Road",Passed,8 Yes / 3 No
George-Darouze,14,reciuqsQVaIzGMRAi,11/13/2024,Yes,Removing Bike Lanes from McBean St. Resurfacing Plan,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=8199af2b-2ef9-46e1-8f61-7b494c88c680&Agenda=PostMinutes&lang=English#:~:text=17.3,Street%20Resurfacing%20Project",Passed,19 Yes / 4 No
George-Darouze,15,recRepa6iKXsxtGKd,11/13/2024,No,Strengthening Vacant Unit Tax,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=8199af2b-2ef9-46e1-8f61-7b494c88c680&Agenda=PostMinutes&lang=English#:~:text=19.1,Data%20and%20Improvements",Passed,14 Yes / 9 No
George-Darouze,16,recL86Vlfo1OjeGtz,11/13/2024,Yes,Richmond and Carling Development Requirements,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=8199af2b-2ef9-46e1-8f61-7b494c88c680&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2046%2D04,Seconded%20byJ.%20Leiper",Passed,20 Yes / 4 No
George-Darouze,17,recYbVlZYE9Nu9qE6,10/30/2024,Yes,6-Month Grace Period for Waste Collection Limit,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=3efcc478-d9c4-4d92-a0f7-b92814759074&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2045%2D03,Seconded%20byG.%20Darouze",Passed,13 Yes / 11 No
George-Darouze,18,rec0OIlqsLzlMpt4s,10/30/2024,No,Limit of 4 Emergency Shelters in Ward 12,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=3efcc478-d9c4-4d92-a0f7-b92814759074&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2045%2D05,Seconded%20byD.%20Brown",Failed,2 Yes / 22 No
George-Darouze,19,recWXt9GYNiyvZsTI,10/30/2024,Yes,Bubble By-law Study Approval,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=3efcc478-d9c4-4d92-a0f7-b92814759074&Agenda=PostMinutes&lang=English#:~:text=21.1,Infrastructure%20By%2Dlaw",Passed,21 Yes / 3 No
George-Darouze,20,rec9Lwr0dXE8L0hDa,10/16/2024,Yes,Exceptions and Relaxed Reporting for Site Alterations,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a2eae498-343f-4085-b829-727d4a885c21&Agenda=PostMinutes&lang=English&Item=62&Tab=attachments#:~:text=10.2,By%2Dlaw%20Update",Passed,15 Yes / 7 No
George-Darouze,21,recgNMBPJoILS2fje,10/16/2024,Yes,Signal Change Requirement Exemption,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a2eae498-343f-4085-b829-727d4a885c21&Agenda=PostMinutes&lang=English&Item=65&Tab=attachments#:~:text=10.4,Mitch%20Owens%20Rd",Passed,19 Yes / 4 No
George-Darouze,22,recMNxne1zW9ZB6bd,10/2/2024,No,Idling Control By-law Approval,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=534308ac-8f54-4e99-a7ed-5e14200e10e5&Agenda=PostMinutes&lang=English#:~:text=15.1,By%2Dlaw%20Review",Passed,15 Yes / 8 No
George-Darouze,23,recpVV5tcN6dJbgBN,9/18/2024,Yes,"2025 Budget Directions (2.9% tax increase, $120 million transit budget hole) - Council",Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=f3145eb2-e6de-4ae5-946f-637a1c291bc3&Agenda=PostMinutes&lang=English#:~:text=13.1,and%20Consultation%20Process",Passed,17 Yes / 8 No
George-Darouze,24,recuddGdc7iiyFyKs,9/18/2024,No,Remove Transit Service Reduction Option,Osgoode Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=f3145eb2-e6de-4ae5-946f-637a1c291bc3&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2042%2D02,Seconded%20byS.%20Devine",Failed,8 Yes / 17 No
