councillor,airtable_row_index,airtable_row_key,date,vote,motion,ward,meeting_link,result,vote_tally
laine-johnson,1,recRwRLf37xi1Lv43,1/28/2026,Yes,Amend Booth St. zoning to alleviate commercial traffic,College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=e8ef0df5-8683-47db-889e-e8802da3ea17&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2026%2D73%2D11,Seconded%20byJ.%20Leiper",Passed,22 Yes / 2 No
laine-johnson,2,recbs60MlISJZfAon,1/28/2026,No,Amend Somerset St. E zoning from minor corridor to residential / local commercial,College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=e8ef0df5-8683-47db-889e-e8802da3ea17&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2026%2D73%2D23,Seconded%20byD.%20Brown",Failed,11 Yes / 13 No
laine-johnson,3,receb3ZalG5nvhYXK,1/28/2026,Yes,Kanata Lakes development City Position,College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=e8ef0df5-8683-47db-889e-e8802da3ea17&Agenda=PostMinutes&lang=English#:~:text=18.3,Country%20Club%20Lands",Passed,21 Yes / 3 No
laine-johnson,4,recQKfFQ7h0p5WeZg,1/14/2026,Yes,"Delegate authority for staff to negotiate, enter into, finalize and execute an asset purchase agreement to acquire the Capital Region Resource Recovery Centre",College Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=7ba51b9f-1dbb-4c6f-b1a7-7da47a8a03c2&Agenda=PostMinutes&lang=English#:~:text=Report%20Recommendation(s),Passed,20 Yes / 5 No
laine-johnson,5,recxjmGUk7F1jmWiO,12/17/2025,Yes,Zoning amendments for McCarthy Woods / Southern Corridor,College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=97890283-23be-41e9-976a-b0c03954bcd1&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.%20PHC%2DARAC2025%2D07%2D20,Moved%20byR.%20Brockington",Passed,11 Yes / 4 No
laine-johnson,6,rec33q9MWKRCwQF99,12/17/2025,Yes,341 Berkley Avenue to be zoned GRN rather than N4B H(11),College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=97890283-23be-41e9-976a-b0c03954bcd1&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.%20PHC%2DARAC2025%2D07%2D25,Moved%20byJ.%20Leiper",Passed,8 Yes / 7 No
laine-johnson,7,recNlnezxCA63YUdj,12/17/2025,No,Mid- and high-rise angular plane amendments,College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=97890283-23be-41e9-976a-b0c03954bcd1&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.%20PHC%2DARAC2025%2D07%2D26,on%20behalf%20of%20Councillor%20Menard",Failed,5 Yes / 10 No
laine-johnson,8,recJeU2EU12gF7R66,12/17/2025,No,New zoning designation for Rideau River,College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=97890283-23be-41e9-976a-b0c03954bcd1&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.%20PHC%2DARAC2025%2D07%2D27,on%20behalf%20of%20Councillor%20Menard",Failed,2 Yes / 13 No
laine-johnson,9,reczOOUrbrELx1FXd,12/10/2025,No,2026 Police Budget,College Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=4d914219-00c6-48c4-bcc6-b82ca579c430&Agenda=PostMinutes&lang=English#:~:text=4.%20%C2%A0%20%C2%A0The%202026%20Ottawa%20Police%20Service%20Draft%20Operating%20and%20Capital%20Budgets%2C%20as%20recommended%20by%20the%20Ottawa%20Police%20Services%20Board%3B,Passed,20 Yes / 5 No
laine-johnson,10,recdebTVVZyhOrYyj,12/10/2025,Yes,"$5.4m for ANCHOR, community hub, street outreach",College Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=4d914219-00c6-48c4-bcc6-b82ca579c430&Agenda=PostMinutes&lang=English#:~:text=for%20voting%20purposes.-,Amendment%3A,Seconded%20byL.%20Johnson,-WHEREAS%20the%202026",Failed,9 Yes / 16 No
