councillor,airtable_row_index,airtable_row_key,date,vote,motion,ward,meeting_link,result,vote_tally
rawlson-king,1,recnGCANsGcupCIts,2/25/2026,No,Endorse Provincial plan to give more drug enforcement powers to OC Transpo special constables,Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=d81e8843-78b0-45b1-9ccd-fcc20e8b2526&Agenda=PostMinutes&lang=English#:~:text=23.4,Illegal%20Substances%20Act",Passed,17 Yes / 7 No
rawlson-king,2,rec5ABM9NuMUErKTl,2/25/2026,Yes,Kanata Lakes development additional scrutiny / review,Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=d81e8843-78b0-45b1-9ccd-fcc20e8b2526&Agenda=PostMinutes&lang=English#:~:text=as%20outlined%20below.-,BE%20IT%20FURTHER%20RESOLVED%20that%20staff%20ensure%20that%20there%20is%20an%20independent%20technical%20and/or%20legal%20third%2Dparty%20review%20of%20every%20substantive%20report%20or%20work%20plan%20submitted%20by%20the%20developer%20to%20the%20City%2C%20in%20addition%20to%20staff%20review%2C%20with%20those%20results%20to%20be%20publicly%20available%20on%20the%20project%20page%3B%20and,-For%20(18)",Passed,18 Yes / 6 No
rawlson-king,3,recAHFeb0HFzUUje0,2/25/2026,Yes,Kanata Lakes development reporting / consultation,Rideau-Rockcliffe Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=d81e8843-78b0-45b1-9ccd-fcc20e8b2526&Agenda=PostMinutes&lang=English#:~:text=Carried%20with%20dissents%20from%20Councillors%20S.%20Devine%20and%20S.%20Plante.,Passed,22 Yes / 2 No
rawlson-king,4,recRTgMJrXczz9lgw,1/28/2026,Yes,Amend Booth St. zoning to alleviate commercial traffic,Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=e8ef0df5-8683-47db-889e-e8802da3ea17&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2026%2D73%2D11,Seconded%20byJ.%20Leiper",Passed,22 Yes / 2 No
rawlson-king,5,recyaE8hdbQsWPUqI,1/28/2026,No,Amend Somerset St. E zoning from minor corridor to residential / local commercial,Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=e8ef0df5-8683-47db-889e-e8802da3ea17&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2026%2D73%2D23,Seconded%20byD.%20Brown",Failed,11 Yes / 13 No
rawlson-king,6,recCmZkTzepcr6lvm,1/28/2026,Yes,Kanata Lakes development City Position,Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=e8ef0df5-8683-47db-889e-e8802da3ea17&Agenda=PostMinutes&lang=English#:~:text=18.3,Country%20Club%20Lands",Passed,21 Yes / 3 No
rawlson-king,7,recVhsdI9itajKDHy,1/14/2026,Yes,"Delegate authority for staff to negotiate, enter into, finalize and execute an asset purchase agreement to acquire the Capital Region Resource Recovery Centre",Rideau-Rockcliffe Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=7ba51b9f-1dbb-4c6f-b1a7-7da47a8a03c2&Agenda=PostMinutes&lang=English#:~:text=Report%20Recommendation(s),Passed,20 Yes / 5 No
rawlson-king,8,recggZcBjwNlgxq9V,12/10/2025,No,2026 Police Budget,Rideau-Rockcliffe Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=4d914219-00c6-48c4-bcc6-b82ca579c430&Agenda=PostMinutes&lang=English#:~:text=4.%20%C2%A0%20%C2%A0The%202026%20Ottawa%20Police%20Service%20Draft%20Operating%20and%20Capital%20Budgets%2C%20as%20recommended%20by%20the%20Ottawa%20Police%20Services%20Board%3B,Passed,20 Yes / 5 No
rawlson-king,9,recbViFHbu9Nl57RT,12/10/2025,Yes,"$5.4m for ANCHOR, community hub, street outreach",Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=4d914219-00c6-48c4-bcc6-b82ca579c430&Agenda=PostMinutes&lang=English#:~:text=for%20voting%20purposes.-,Amendment%3A,Seconded%20byL.%20Johnson,-WHEREAS%20the%202026",Failed,9 Yes / 16 No
rawlson-king,10,recgw9JKJ9qrE2jyl,12/10/2025,Yes,"Evaluate ANCHOR and similar programs, come back with more funding options later",Rideau-Rockcliffe Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=4d914219-00c6-48c4-bcc6-b82ca579c430&Agenda=PostMinutes&lang=English#:~:text=9%20to%2016)-,Amendment%3A,staff%20report%20back%20to%20Community%20Services%20Committee%20by%20Q3%202026%20with%3A,-Evaluation%20of%20outcomes",Passed,17 Yes / 8 No
